last_name,first_name,full_name,birthday,gender,type,state,district,party,url,address,phone,contact_form,twitter,facebook,youtube,youtube_id,bioguide_id,thomas_id,opensecrets_id,lis_id,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,icpsr_id,wikipedia_id
Whitehouse,Sheldon,Sheldon Whitehouse,1955-10-20,M,sen,RI,,Democrat,https://www.whitehouse.senate.gov,530 Hart Senate Office Building Washington DC 20510,202-224-2921,https://www.whitehouse.senate.gov/contact/email-sheldon,SenWhitehouse,SenatorWhitehouse,SenatorWhitehouse,UCnG0N70SNBkNqvIMLodPTIA,W000802,1823,N00027533,S316,92235,412247,2572,Sheldon Whitehouse,40704,Sheldon Whitehouse
Barrasso,John,John Barrasso,1952-07-21,M,sen,WY,,Republican,https://www.barrasso.senate.gov,307 Dirksen Senate Office Building Washington DC 20510,202-224-6441,https://www.barrasso.senate.gov/public/index.cfm/contact-form,SenJohnBarrasso,johnbarrasso,barrassowyo,UC80PfiCAB2Fe1MFayWlR6GQ,B001261,1881,N00006236,S317,1024777,412251,52662,John Barrasso,40707,John Barrasso
Wicker,Roger,Roger F. Wicker,1951-07-05,M,sen,MS,,Republican,https://www.wicker.senate.gov,555 Dirksen Senate Office Building Washington DC 20510,202-224-6253,https://www.wicker.senate.gov/public/index.cfm/contact,SenatorWicker,SenatorWicker,SenatorWicker,UCIlKHiTjSkcQP_knBcXHWSg,W000437,1226,N00003280,S318,18203,400432,21926,Roger Wicker,29534,Roger Wicker
Collins,Susan,Susan M. Collins,1952-12-07,F,sen,ME,,Republican,https://www.collins.senate.gov,413 Dirksen Senate Office Building Washington DC 20510,202-224-2523,http://www.collins.senate.gov/contact,SenatorCollins,susancollins,SenatorSusanCollins,UC6GYaBx5kT2r4PN8KENxC-w,C001035,1541,N00000491,S252,45738,300025,379,Susan Collins,49703,Susan Collins
Cornyn,John,John Cornyn,1952-02-02,M,sen,TX,,Republican,https://www.cornyn.senate.gov,517 Hart Senate Office Building Washington DC 20510,202-224-2934,https://www.cornyn.senate.gov/contact,JohnCornyn,sen.johncornyn,senjohncornyn,UCyQwLQavlOaJ64YuY_VMtiQ,C001056,1692,N00024852,S287,93131,300027,15375,John Cornyn,40305,John Cornyn
Durbin,Richard,Richard J. Durbin,1944-11-21,M,sen,IL,,Democrat,https://www.durbin.senate.gov,711 Hart Senate Office Building Washington DC 20510,202-224-2152,https://www.durbin.senate.gov/contact/,SenatorDurbin,SenatorDurbin,SenatorDurbin,UCkbixlNCxcKAffEhe3X5-lw,D000563,326,N00004981,S253,6741,300038,26847,Dick Durbin,15021,Dick Durbin
Graham,Lindsey,Lindsey Graham,1955-07-09,M,sen,SC,,Republican,https://www.lgraham.senate.gov/public,290 Russell Senate Office Building Washington DC 20510,202-224-5972,https://www.lgraham.senate.gov/public/index.cfm/e-mail-senator-graham,GrahamBlog,USSenatorLindseyGraham,USSenLindseyGraham,UClLGZMA5Ei2Z8fR1PLEx6yQ,G000359,452,N00009975,S293,36782,300047,21992,Lindsey Graham,29566,Lindsey Graham
Inhofe,James,James M. Inhofe,1934-11-17,M,sen,OK,,Republican,https://www.inhofe.senate.gov,205 Russell Senate Office Building Washington DC 20510,202-224-4721,https://www.inhofe.senate.gov/contact,InhofePress,jiminhofe,jiminhofepressoffice,UCk3W3ilX8vGG-300qzNpG7w,I000024,583,N00005582,S236,5619,300055,27027,Jim Inhofe,15424,Jim Inhofe
McConnell,Mitch,Mitch McConnell,1942-02-20,M,sen,KY,,Republican,https://www.mcconnell.senate.gov,317 Russell Senate Office Building Washington DC 20510,202-224-2541,http://www.mcconnell.senate.gov/public/index.cfm?p=contact,McConnellPress,mitchmcconnell,,,M000355,1395,N00003389,S174,2351,300072,53298,Mitch McConnell,14921,Mitch McConnell
Merkley,Jeff,Jeff Merkley,1956-10-24,M,sen,OR,,Democrat,https://www.merkley.senate.gov,313 Hart Senate Office Building Washington DC 20510,202-224-3753,http://www.merkley.senate.gov/contact/,SenJeffMerkley,jeffmerkley,SenatorJeffMerkley,UCRoXttCJhMnLVCxCaa6VnNQ,M001176,1900,N00029303,S322,1029842,412325,23644,Jeff Merkley,40908,Jeff Merkley
Reed,John,Jack Reed,1949-11-12,M,sen,RI,,Democrat,https://www.reed.senate.gov,728 Hart Senate Office Building Washington DC 20510,202-224-4642,https://www.reed.senate.gov/contact/,SenJackReed,SenJackReed,SenatorReed,UCT_aFVtsjxPwWKfO-PW_hPw,R000122,949,N00000362,S259,24239,300081,27060,Jack Reed,29142,Jack Reed (Rhode Island politician)
Risch,James,James E. Risch,1943-05-03,M,sen,ID,,Republican,https://www.risch.senate.gov,483 Russell Senate Office Building Washington DC 20510,202-224-2752,http://www.risch.senate.gov/public/index.cfm?p=Email,SenatorRisch,senatorjimrisch,SenatorJamesRisch,UCncKW8xyT5UbPNO27YuQnBA,R000584,1896,N00029441,S323,1020034,412322,2919,Jim Risch,40902,Jim Risch
Shaheen,Jeanne,Jeanne Shaheen,1947-01-28,F,sen,NH,,Democrat,https://www.shaheen.senate.gov,506 Hart Senate Office Building Washington DC 20510,202-224-2841,https://www.shaheen.senate.gov/contact/contact-jeanne,SenatorShaheen,SenatorShaheen,senatorshaheen,UCjLZAZMbDrybHyttdEC9LFA,S001181,1901,N00024790,S324,22850,412323,1663,Jeanne Shaheen,40906,Jeanne Shaheen
Warner,Mark,Mark R. Warner,1954-12-15,M,sen,VA,,Democrat,https://www.warner.senate.gov,703 Hart Senate Office Building Washington DC 20510,202-224-2023,http://www.warner.senate.gov/public/index.cfm?p=Contact,MarkWarner,MarkRWarner,SenatorMarkWarner,UCwyivNlEGf4sGd1oDLfY5jw,W000805,1897,N00002097,S327,7630,412321,535,Mark Warner,40909,Mark Warner
Gillibrand,Kirsten,Kirsten E. Gillibrand,1966-12-09,F,sen,NY,,Democrat,https://www.gillibrand.senate.gov,478 Russell Senate Office Building Washington DC 20510,202-224-4451,https://www.gillibrand.senate.gov/contact/email-me,GillibrandNY,SenKirstenGillibrand,KirstenEGillibrand,UCVEloQogVsmnkd5vxJInmYg,G000555,1866,N00027658,S331,1022862,412223,65147,Kirsten Gillibrand,20735,Kirsten Gillibrand
Coons,Christopher,Christopher A. Coons,1963-09-09,M,sen,DE,,Democrat,https://www.coons.senate.gov,218 Russell Senate Office Building Washington DC 20510,202-224-5042,https://www.coons.senate.gov/contact,ChrisCoons,senatorchriscoons,senatorchriscoons,UC2lOVbsddn1HIkcDnmCw6tA,C001088,1984,N00031820,S337,9269028,412390,122834,Chris Coons,40916,Chris Coons
Manchin,Joe,Joe Manchin III,1947-08-24,M,sen,WV,,Democrat,https://www.manchin.senate.gov,306 Hart Senate Office Building Washington DC 20510,202-224-3954,http://www.manchin.senate.gov/public/index.cfm/contact-form,Sen_JoeManchin,JoeManchinIII,SenatorJoeManchin,UCGyPK_ye2ptpzQgOjKIn7ag,M001183,1983,N00032838,S338,62864,412391,7547,Joe Manchin III,40915,Joe Manchin
Aderholt,Robert,Robert B. Aderholt,1965-07-22,M,rep,AL,4,Republican,https://aderholt.house.gov,266 Cannon House Office Building Washington DC 20515-0104,202-225-4876,,Robert_Aderholt,RobertAderholt,RobertAderholt,UC71CAgpg1gbLTew_pfTneGA,A000055,1460,N00003028,,45516,400004,441,Robert B. Aderholt,29701,Robert Aderholt
Baldwin,Tammy,Tammy Baldwin,1962-02-11,F,sen,WI,,Democrat,https://www.baldwin.senate.gov,709 Hart Senate Office Building Washington DC 20510,202-224-5653,https://www.baldwin.senate.gov/feedback,SenatorBaldwin,senatortammybaldwin,witammybaldwin,UC_XjYCRbbI2_TDDjJidwk0Q,B001230,1558,N00004367,S354,57884,400013,3470,Tammy Baldwin,29940,Tammy Baldwin
Bass,Karen,Karen Bass,1953-10-03,F,rep,CA,37,Democrat,https://bass.house.gov,2021 Rayburn House Office Building Washington DC 20515-0537,202-225-7084,,RepKarenBass,RepKarenBass,RepKarenBass,UCQZg7oxkV3Yag2emYPLhT2g,B001270,1996,N00031877,,62502,412404,28963,Karen Bass,21110,Karen Bass
Bennet,Michael,Michael F. Bennet,1964-11-28,M,sen,CO,,Democrat,https://www.bennet.senate.gov/public,261 Russell Senate Office Building Washington DC 20510,202-224-5852,https://www.bennet.senate.gov/public/index.cfm/contact,SenatorBennet,senbennetco,SenatorBennet,UCXB3cljpMwTyCUyLr2ZVLow,B001267,1965,N00030608,S330,1031622,412330,110942,Michael Bennet,40910,Michael Bennet
Bilirakis,Gus,Gus M. Bilirakis,1963-02-08,M,rep,FL,12,Republican,https://bilirakis.house.gov,2354 Rayburn House Office Building Washington DC 20515-0912,202-225-5755,,RepGusBilirakis,GusBilirakis,RepGusBilirakis,UC2z1uu1n4-60xXs5x1mvLJw,B001257,1838,N00027462,,1022873,412250,17318,Gus M. Bilirakis,20758,Gus Bilirakis
Bishop,Sanford,Sanford D. Bishop Jr.,1947-02-04,M,rep,GA,2,Democrat,https://bishop.house.gov,2407 Rayburn House Office Building Washington DC 20515-1002,202-225-3631,,SanfordBishop,sanfordbishop,RepSanfordBishop,UCxF9veLBrkr_CqVq5eFYVGg,B000490,91,N00002674,,26194,400030,26817,Sanford Bishop Jr.,29339,Sanford Bishop
Blackburn,Marsha,Marsha Blackburn,1952-06-06,F,sen,TN,,Republican,https://www.blackburn.senate.gov,357 Dirksen Senate Office Building Washington DC 20510,202-224-3344,https://www.blackburn.senate.gov/email-me,MarshaBlackburn,marshablackburn,RepMarshaBlackburn,UCvNnmu5mUm7xr8QXBlbtQ9w,B001243,1748,N00003105,S396,31226,400032,25186,Marsha Blackburn,20351,Marsha Blackburn
Blumenauer,Earl,Earl Blumenauer,1948-08-16,M,rep,OR,3,Democrat,https://blumenauer.house.gov,1111 Longworth House Office Building Washington DC 20515-3703,202-225-4811,,BlumenauerMedia,,RepBlumenauer,UCuziVoKuGn7feNA5VrpxsBQ,B000574,99,N00007727,,43809,400033,367,Earl Blumenauer,29588,Earl Blumenauer
Blumenthal,Richard,Richard Blumenthal,1946-02-13,M,sen,CT,,Democrat,https://www.blumenthal.senate.gov,706 Hart Senate Office Building Washington DC 20510,202-224-2823,https://www.blumenthal.senate.gov/contact/,SenBlumenthal,SenBlumenthal,SenatorBlumenthal,UCHH-fn3_LVt0Q4od56rOi5g,B001277,2076,N00031685,S341,21799,412490,1568,Richard Blumenthal,41101,Richard Blumenthal
Blunt,Roy,Roy Blunt,1950-01-10,M,sen,MO,,Republican,https://www.blunt.senate.gov,260 Russell Senate Office Building Washington DC 20510,202-224-5721,https://www.blunt.senate.gov/public/index.cfm/contact-roy,RoyBlunt,SenatorBlunt,SenatorBlunt,UCFeLRzjhThTmaWzuh5qjpGA,B000575,1464,N00005195,S342,45465,400034,418,Roy Blunt,29735,Roy Blunt
Boozman,John,John Boozman,1950-12-10,M,sen,AR,,Republican,https://www.boozman.senate.gov/public,141 Hart Senate Office Building Washington DC 20510,202-224-4843,https://www.boozman.senate.gov/public/index.cfm/contact,JohnBoozman,JohnBoozman,BoozmanPressOffice,UC9vWHKL5OfIYh6kIV0rF2yw,B001236,1687,N00013873,S343,92069,400040,27958,John Boozman,20101,John Boozman
Brady,Kevin,Kevin Brady,1955-04-11,M,rep,TX,8,Republican,https://kevinbrady.house.gov,1011 Longworth House Office Building Washington DC 20515-4308,202-225-4901,,RepKevinBrady,kevinbrady,KBrady8,UC6Ng0uMQEBVgXO_HF0NbfXA,B000755,1468,N00005883,,45749,400046,361,Kevin Brady (Texas),29760,Kevin Brady
Brooks,Mo,Mo Brooks,1954-04-29,M,rep,AL,5,Republican,https://brooks.house.gov,2185 Rayburn House Office Building Washington DC 20515-0105,202-225-4801,,RepMoBrooks,RepMoBrooks,RepMoBrooks,UCgsPSY0MpuQJq8vEqYUSt-g,B001274,1987,N00030910,,94888,412395,121610,Mo Brooks,21193,Mo Brooks
Buchanan,Vern,Vern Buchanan,1951-05-08,M,rep,FL,16,Republican,https://buchanan.house.gov,2110 Rayburn House Office Building Washington DC 20515-0916,202-225-5015,,VernBuchanan,CongressmanBuchanan,vernbuchanan,UCY4DEy41NxOTdcF8_XAVZvw,B001260,1840,N00027626,,1021626,412196,66247,Vern Buchanan,20709,Vern Buchanan
Bucshon,Larry,Larry Bucshon,1962-05-31,M,rep,IN,8,Republican,https://bucshon.house.gov,2313 Rayburn House Office Building Washington DC 20515-1408,202-225-4636,,RepLarryBucshon,RepLarryBucshon,RepLarryBucshon,UC0bIliQs0LKZabNwvZ3gnhQ,B001275,2018,N00031227,,61837,412427,120335,Larry Bucshon,21132,Larry Bucshon
Burgess,Michael,Michael C. Burgess,1950-12-23,M,rep,TX,26,Republican,https://burgess.house.gov,2161 Rayburn House Office Building Washington DC 20515-4326,202-225-7772,,MichaelCBurgess,michaelcburgess,michaelcburgessmd,UCvvO8lo-Nkc31cEEElqQvQw,B001248,1751,N00025219,,1003620,400052,50120,,20355,Michael C. Burgess
Burr,Richard,Richard Burr,1955-11-30,M,sen,NC,,Republican,https://www.burr.senate.gov,217 Russell Senate Office Building Washington DC 20510,202-224-3154,https://www.burr.senate.gov/contact/email,SenatorBurr,SenatorRichardBurr,SenatorRichardBurr,UCOLLZpp-1womBSFDV2uLfag,B001135,153,N00002221,S300,31054,400054,21787,Richard Burr,29548,Richard Burr
Butterfield,George,G. K. Butterfield,1947-04-27,M,rep,NC,1,Democrat,https://butterfield.house.gov,2080 Rayburn House Office Building Washington DC 20515-3301,202-225-3101,,GKButterfield,congressmangkbutterfield,GKBNC01,UCbodCVgLfcbaep49L1M-mqA,B001251,1761,N00027035,,1013540,400616,41077,G.K. Butterfield,20340,G. K. Butterfield
Calvert,Ken,Ken Calvert,1953-06-08,M,rep,CA,42,Republican,https://calvert.house.gov,2205 Rayburn House Office Building Washington DC 20515-0542,202-225-1986,,KenCalvert,70063393423,RepKenCalvert,UC5MEj7YOX_QdKoqD_HRxP3A,C000059,165,N00007099,,26709,400057,26777,Ken Calvert,29323,Ken Calvert
Capito,Shelley,Shelley Moore Capito,1953-11-26,F,sen,WV,,Republican,https://www.capito.senate.gov,172 Russell Senate Office Building Washington DC 20510,202-224-6472,https://www.capito.senate.gov/contact/contact-shelley,SenCapito,senshelley,,UCbiXdR4XQ3vD9Xp5lfR9QXw,C001047,1676,N00009771,S372,83737,400061,11701,Shelley Moore Capito,20146,Shelley Moore Capito
Carson,André,André Carson,1974-10-16,M,rep,IN,7,Democrat,https://carson.house.gov,2135 Rayburn House Office Building Washington DC 20515-1407,202-225-4011,,RepAndreCarson,CongressmanAndreCarson,repandrecarson,UCprUnnEgM2VUGmAKSaZXCSw,C001072,1889,N00029513,,1027364,412258,84917,Andre Carson,20757,André Carson
Carter,John,John R. Carter,1941-11-06,M,rep,TX,31,Republican,https://carter.house.gov,2208 Rayburn House Office Building Washington DC 20515-4331,202-225-3864,,JudgeCarter,judgecarter,repjohncarter,UC9pkaOrhPfouzkJ8oAdI-1w,C001051,1752,N00025095,,1004257,400068,49296,John Carter,20356,John Carter (Texas politician)
Cassidy,Bill,Bill Cassidy,1957-09-28,M,sen,LA,,Republican,https://www.cassidy.senate.gov,520 Hart Senate Office Building Washington DC 20510,202-224-5824,https://www.cassidy.senate.gov/contact,SenBillCassidy,,SenatorBillCassidy,UCCEyGhUzxgkxFzWCY-rxz8g,C001075,1925,N00030245,S373,1030546,412269,69494,Bill Cassidy,20919,Bill Cassidy
Castor,Kathy,Kathy Castor,1966-08-20,F,rep,FL,14,Democrat,https://castor.house.gov,2052 Rayburn House Office Building Washington DC 20515-0914,202-225-3376,,USRepKCastor,USRepKathyCastor,RepKathyCastor,UC_irxhmLqVenTFPxDxznG6g,C001066,1839,N00027514,,1022874,412195,53825,Kathy Castor,20708,Kathy Castor
Chabot,Steve,Steve Chabot,1953-01-22,M,rep,OH,1,Republican,https://chabot.house.gov,2408 Rayburn House Office Building Washington DC 20515-3501,202-225-2216,,RepSteveChabot,RepSteveChabot,congressmanchabot,UCJpzm2DZDE1B6ruQLQc7q4g,C000266,186,N00003689,,36705,400071,21790,Steve Chabot,29550,Steve Chabot
Chu,Judy,Judy Chu,1953-07-07,F,rep,CA,27,Democrat,https://chu.house.gov,2423 Rayburn House Office Building Washington DC 20515-0527,202-225-5464,,RepJudyChu,RepJudyChu,RepJudyChu,UCfcbYOvdEXZNelM8T05nK-w,C001080,1970,N00030600,,92573,412379,16539,Judy Chu,20955,Judy Chu
Cicilline,David,David N. Cicilline,1961-07-15,M,rep,RI,1,Democrat,https://cicilline.house.gov,2233 Rayburn House Office Building Washington DC 20515-3901,202-225-4911,,RepCicilline,CongressmanDavidCicilline,RepDavidCicilline,UC3sCl46o8hYP69LnidNltuw,C001084,2055,N00032019,,1033865,412470,7349,David N. Cicilline,21172,David Cicilline
Clarke,Yvette,Yvette D. Clarke,1964-11-21,F,rep,NY,9,Democrat,https://clarke.house.gov,2058 Rayburn House Office Building Washington DC 20515-3209,202-225-6231,,RepYvetteClarke,repyvettedclarke,repyvetteclarke,UC8SuQiuL2P9fUHAxuRoTdUQ,C001067,1864,N00026961,,1022875,412221,44741,Yvette D. Clarke,20733,Yvette Clarke
Cleaver,Emanuel,Emanuel Cleaver,1944-10-26,M,rep,MO,5,Democrat,https://cleaver.house.gov,2335 Rayburn House Office Building Washington DC 20515-2505,202-225-4535,,RepCleaver,emanuelcleaverii,repcleaver,UCVC-7CLFjXczoihr5FxDLsw,C001061,1790,N00026790,,10933,400639,39507,Emanuel Cleaver,20517,Emanuel Cleaver
Clyburn,James,James E. Clyburn,1940-07-21,M,rep,SC,6,Democrat,https://clyburn.house.gov,274 Cannon House Office Building Washington DC 20515-4006,202-225-3315,,WhipClyburn,jameseclyburn,repjamesclyburn,UCIyU_UA_JEa14gvAwhquKqg,C000537,208,N00002408,,21607,400075,27066,James E. Clyburn,39301,Jim Clyburn
Cohen,Steve,Steve Cohen,1949-05-24,M,rep,TN,9,Democrat,https://cohen.house.gov,2104 Rayburn House Office Building Washington DC 20515-4209,202-225-3265,,RepCohen,CongressmanSteveCohen,repcohen,UC_NJlnsOBjOameUwZk0rvsA,C001068,1878,N00003225,,1022876,412236,24340,Steve Cohen,20748,Steve Cohen
Cole,Tom,Tom Cole,1949-04-28,M,rep,OK,4,Republican,https://cole.house.gov,2207 Rayburn House Office Building Washington DC 20515-3604,202-225-6165,,TomColeOK04,TomColeOK04,reptomcole,UCvqzPm_YnNkfEHpm3SEMJMQ,C001053,1742,N00025726,,1003609,400077,46034,Tom Cole,20344,Tom Cole
Connolly,Gerald,Gerald E. Connolly,1950-03-30,M,rep,VA,11,Democrat,https://connolly.house.gov,2238 Rayburn House Office Building Washington DC 20515-4611,202-225-1492,,GerryConnolly,CongressmanGerryConnolly,repconnolly,UC4WG9PlmoOeSLIuyVjs-RSA,C001078,1959,N00029891,,1015936,412272,95078,Gerald Connolly,20952,Gerry Connolly
Cooper,Jim,Jim Cooper,1954-06-19,M,rep,TN,5,Democrat,https://cooper.house.gov,1536 Longworth House Office Building Washington DC 20515-4205,202-225-4311,,RepJimCooper,JimCooper,RepJimCooper,UCjplyIIQbNZcl013AyDfPNg,C000754,231,N00003132,,1201,400081,48891,Jim Cooper,15019,Jim Cooper
Costa,Jim,Jim Costa,1952-04-13,M,rep,CA,16,Democrat,https://costa.house.gov,2081 Rayburn House Office Building Washington DC 20515-0516,202-225-3341,,RepJimCosta,RepJimCosta,RepJimCostaCA20,UCVgXX23eJEai6GiBOKO6dvA,C001059,1774,N00026341,,19599,400618,3577,Jim Costa,20501,Jim Costa
Courtney,Joe,Joe Courtney,1953-04-06,M,rep,CT,2,Democrat,https://courtney.house.gov,2449 Rayburn House Office Building Washington DC 20515-0702,202-225-2076,,RepJoeCourtney,joecourtney,repcourtney,UCGVIfe1T2hO1Lx7ap5Wkv1w,C001069,1836,N00024842,,1021284,412193,30333,Joe Courtney,20706,Joe Courtney (politician)
Crapo,Michael,Mike Crapo,1951-05-20,M,sen,ID,,Republican,https://www.crapo.senate.gov,239 Dirksen Senate Office Building Washington DC 20510,202-224-6142,https://www.crapo.senate.gov/contact,MikeCrapo,mikecrapo,senatorcrapo,UCMHzKHg1BE7dEcFjnayw1lA,C000880,250,N00006267,S266,26440,300030,26830,Mike Crapo,29345,Mike Crapo
Crawford,Eric,"Eric A. ""Rick"" Crawford",1966-01-22,M,rep,AR,1,Republican,https://crawford.house.gov,2422 Rayburn House Office Building Washington DC 20515-0401,202-225-4076,,RepRickCrawford,RepRickCrawford,RepRickCrawford,UCLKAkVl4BHRK73lmDiIgPYg,C001087,1989,N00030770,,623259,412400,119208,Rick Crawford,21106,Rick Crawford (politician)
Cuellar,Henry,Henry Cuellar,1955-09-19,M,rep,TX,28,Democrat,https://cuellar.house.gov,2372 Rayburn House Office Building Washington DC 20515-4328,202-225-1640,,RepCuellar,152569121550,henrycuellar,UCVgEOdJx3tyILO9EjZ-heEQ,C001063,1807,N00024978,,1013062,400657,5486,Henry Cuellar,20533,Henry Cuellar
Davis,Danny,Danny K. Davis,1941-09-06,M,rep,IL,7,Democrat,https://davis.house.gov,2159 Rayburn House Office Building Washington DC 20515-1307,202-225-5006,,RepDannyDavis,CongressmanDKDavis,dannykdavis07,UCdhrT09_XMr31tuI8OcKsjQ,D000096,1477,N00004884,,44325,400093,233,Danny K. Davis,29717,Danny K. Davis
DeFazio,Peter,Peter A. DeFazio,1947-05-27,M,rep,OR,4,Democrat,https://defazio.house.gov,2134 Rayburn House Office Building Washington DC 20515-3704,202-225-6416,,RepPeterDeFazio,RepPeterDeFazio,PeterDeFazio,UCIF3HunhsVgTv7L2grnq2Rg,D000191,279,N00007781,,6068,400100,27037,Peter DeFazio,15410,Peter DeFazio
DeGette,Diana,Diana DeGette,1957-07-29,F,rep,CO,1,Democrat,https://degette.house.gov,2111 Rayburn House Office Building Washington DC 20515-0601,202-225-4431,,RepDianaDeGette,DianaDeGette,RepDianaDeGette,UCWFQCRTHwsHg9P1Hf-EQtew,D000197,1479,N00006134,,90293,400101,561,Diana DeGette,29710,Diana DeGette
DeLauro,Rosa,Rosa L. DeLauro,1943-03-02,F,rep,CT,3,Democrat,https://delauro.house.gov,2413 Rayburn House Office Building Washington DC 20515-0703,202-225-3661,,RosaDeLauro,CongresswomanRosaDeLauro,rosadelauro,UC9ROfGBm7kSLCEDYwFF6McQ,D000216,281,N00000615,,19040,400103,26788,Rosa DeLauro,29109,Rosa DeLauro
DesJarlais,Scott,Scott DesJarlais,1964-02-21,M,rep,TN,4,Republican,https://desjarlais.house.gov,2304 Rayburn House Office Building Washington DC 20515-4204,202-225-6831,,DesJarlaisTN04,ScottDesJarlaisTN04,ScottDesJarlaisTN04,UCvjuSLoi3hS0ECQvJLhwOkA,D000616,2062,N00030957,,623517,412477,123473,Scott DesJarlais,21179,Scott DesJarlais
Deutch,Theodore,Theodore E. Deutch,1966-05-07,M,rep,FL,22,Democrat,https://teddeutch.house.gov,2323 Rayburn House Office Building Washington DC 20515-0922,202-225-3001,,RepTedDeutch,CongressmanTedDeutch,congressmanteddeutch,UC1JlTLRUDkzhM2htvI9QJTA,D000610,1976,N00031317,,9267613,412385,67151,Theodore E. Deutch,20959,Ted Deutch
